,field_1,X,Y,green_cove,green_co_1,green_co_2,green_co_3,landuse_majority,elevation_mean,elevation_range,elevation_majority,slope_mean,orientation_mean
0,0,3655359.0326,2070909.5867,5297,726516,137.15612611,141.0,312.0,199.254802366745,59.43000793457029,190.74000549316398,20.960422345094898,224.190427536535
1,1,3655450.3782,2070800.9880000001,5945,849799,142.94348192,147.0,311.0,199.392713717976,62.2299957275391,194.850006103516,22.828919861909,145.431365953996
2,2,3655458.9587,2070900.2582,3737,511437,136.85763982,139.0,312.0,221.25222791099898,52.3899993896484,221.179992675781,20.9785248454492,245.407736543435
3,3,3655455.7971,2069698.5962,6501,922808,141.94862329,144.0,311.0,409.81171778937005,63.6199951171875,387.880004882812,23.7042704780591,198.28812784028
4,4,3655464.3745,2069797.8656,8129,1162246,142.97527371,146.0,311.0,384.606403356619,53.5499877929688,376.79000854492205,21.3046331572062,77.051443364619
5,5,3655541.6566,2070691.8418,9249,1351327,146.10520056,148.0,311.0,224.528639449554,93.3800048828125,230.52000427246102,21.0970702274316,115.56846531397301
6,6,3655550.2522,2070791.1102,2502,352230,140.77937649999998,143.0,312.0,213.936699371338,39.2100067138672,207.960006713867,21.8982428097725,254.793440132141
7,7,3655558.8527,2070890.6007,2503,353766,141.33679584,144.0,312.0,227.07790532671,39.600006103515604,213.38000488281202,22.4786779583244,175.98163359301898
8,8,3655567.4235,2070989.8719,23979,3404241,141.96759665,144.0,312.0,244.347619107447,100.58999633789101,228.74000549316398,22.4022990782321,235.090508012393
9,9,3655538.5477,2069490.7353,12234,1511777,123.57176721,126.0,323.0,348.53318978516603,138.789978027344,373.01998901367205,25.6977904835909,142.595645045971
10,10,3655547.1234,2069590.0046,3749,527470,140.69618565,145.0,311.0,373.425534659804,113.470001220703,338.480010986328,30.7017158776223,109.828044119487
11,11,3655555.7242,2069689.2714,2498,359055,143.73698959,146.0,311.0,359.881578488457,56.5900268554688,370.54000854492205,24.391500885325303,77.25125233929859
12,12,3655564.3026,2069788.6519,2499,358252,143.35814326,146.0,311.0,347.136276245117,54.209991455078104,329.589996337891,23.981822273731197,79.74485823631291
13,13,3655572.8788,2069887.9215,10972,1576710,143.70306234,147.0,311.0,346.26224639425203,57.9299926757812,336.760009765625,18.4530968699885,60.3068657582663
14,14,3655624.4256,2070484.0879,16552,2367444,143.03069116,149.0,311.0,257.55016185470197,98.66000366210942,252.139999389648,19.671726761002603,126.00846619254699
15,15,3655633.0385,2070583.4655,3745,544658,145.43604806,148.0,311.0,220.315091879818,48.5599975585938,205.850006103516,20.5557024849078,144.046472810147
16,16,3655641.6074,2070682.7366,2496,358879,143.78165064,146.0,312.0,219.426075592041,44.9799957275391,214.75,23.225279862880697,231.08212489426103
17,17,3655650.1848,2070782.0068,2496,346801,138.94270833,140.0,312.0,247.17842113523602,37.920013427734396,258.45001220703097,19.975806879220396,254.730877295473
18,18,3655658.7874,2070881.2745,2499,358996,143.65586234,147.0,312.0,235.709300384521,42.209991455078104,223.38000488281202,25.263353351354603,268.404002189636
19,19,3655667.3675,2070980.656,3752,530790,141.46855011,143.0,312.0,276.385324309947,67.88998413085939,270.42999267578097,26.7824323720821,211.50407277645198
20,20,3655629.8441,2069381.7035,8525,1062070,124.5829912,130.0,323.0,204.717412128424,272.29998779296903,304.95001220703097,17.4481984979392,173.699962125976
21,21,3655638.4349,2069480.9711,2499,351088,140.49139656,147.0,311.0,311.646168647121,32.100006103515604,316.42999267578097,17.6983443916734,133.364892638145
22,22,3655647.0199,2069580.3508,3124,421865,135.0400128,143.0,311.0,329.851490192024,34.1300048828125,325.04998779296903,15.978726384347802,149.050370731281
23,23,3655655.611,2069679.6185,2496,319266,127.91105769,142.0,311.0,329.584146010816,39.1799926757812,320.170013427734,16.1744748440819,49.31910841668671
24,24,3655664.1855,2069778.8881,2516,302398,120.1899841,116.0,311.0,316.56354661763,34.649993896484396,314.109985351562,15.7002082722528,75.3493266058673
25,25,3655672.8497,2069878.8162,2508,329476,131.37001595,140.0,312.0,323.516166518303,25.539978027343803,327.54998779296903,14.2218508231991,144.630950079503
26,26,3655681.4161,2069978.0868,3691,462784,125.38173937,136.0,311.0,324.258808511526,20.6499938964844,330.019989013672,10.6201351377373,203.303003356247
27,27,3655689.9911,2070077.3567,7399,1050324,141.95485876,145.0,311.0,312.30542815221503,48.290008544921896,310.350006103516,21.432475412545102,114.212252190394
28,28,3655698.5912,2070176.6239,9963,1391021,139.61868915,146.0,311.0,290.852265015412,77.9099884033203,280.70001220703097,23.477506004861397,137.527886782247
29,29,3655707.1581,2070275.8948,7465,1074704,143.96570663,148.0,311.0,267.270984258326,76.4100036621094,265.959991455078,22.476173493740898,147.610777555007
30,30,3655715.7585,2070375.1622,3757,557951,148.5097152,150.0,311.0,249.61323878522302,46.769989013671896,244.539993286133,25.164958441595804,199.656123960456
31,31,3655724.3257,2070474.4332,2496,362393,145.18950321,148.0,311.0,245.137437024907,39.0900115966797,243.470001220703,18.7874318283407,255.526967417655
32,32,3655732.9014,2070573.7034,2496,369731,148.12940705,150.0,311.0,244.67994985149102,36.7199859619141,242.669998168945,19.324658305201698,267.15946304858
33,33,3655741.5022,2070672.9711,2495,366816,147.02044088,150.0,311.0,238.882954645639,39.4299926757812,237.850006103516,24.1525534836933,267.919517979477
34,34,3655750.0698,2070772.2423,2513,351371,139.82132909,142.0,312.0,267.865901881088,45.9000091552734,260.92999267578097,19.7751960354087,220.159045297128
35,35,3655758.6997,2070872.0636,2513,363365,144.59411062,146.0,312.0,260.480049528899,51.9100189208984,239.839996337891,24.033152773350803,303.470369277766
36,36,3655767.3009,2070971.3314,2495,353094,141.52064128,143.0,312.0,268.83600497605204,47.34001159667971,276.19000244140597,26.4642234567422,194.267647748017
37,37,3655775.869,2071070.6029,9891,1424571,144.02699424,146.0,312.0,290.730780273207,104.510009765625,313.0,26.2848685956586,249.10652917342202
38,38,3655729.795,2069372.4909,9944,1367304,137.50040225,144.0,323.0,223.22766818628799,210.38000488281202,309.70001220703097,19.5182261068957,140.101164485805
39,39,3655738.376,2069471.7595,7719,1098836,142.35470916,145.0,312.0,270.722024173424,95.4499969482422,243.800003051758,27.3313342133506,99.4810955574943
40,40,3655755.5385,2069670.2969,3437,472760,137.55018912,145.0,312.0,311.620237972274,57.699981689453104,317.769989013672,21.4661708236177,62.476087114313096
41,41,3655764.1306,2069769.6759,2499,363455,145.44017607,148.0,312.0,288.763349990845,41.5,300.019989013672,24.5198304271698,105.59653442382799
42,42,3655772.7122,2069868.9448,2496,353016,141.43269231,145.0,312.0,314.29045070562097,33.040008544921896,320.54998779296903,18.424207792544998,155.491947317482
43,43,3655781.2939,2069968.2138,2499,307194,122.92677071,132.0,312.0,329.411356863664,19.8899841308594,329.209991455078,12.339252200071199,208.77866365442299
44,44,3655789.8865,2070067.593,2499,368294,147.37655062,152.0,311.0,321.272692521017,39.910003662109396,303.29998779296903,21.526274356461503,255.335159676331
