,X,Y
0,3655359.0326226326,2070909.5866603665
1,3655450.3782341336,2070800.9880355468
2,3655458.958693199,2070900.2581534549
3,3655455.797070029,2069698.5962012468
4,3655464.374512771,2069797.86560028
5,3655541.656637237,2070691.8417681176
6,3655550.252181532,2070791.1101525694
7,3655558.852678055,2070890.600717179
8,3655567.4234831454,2070989.8718930066
9,3655538.5476532443,2069490.7352550812
10,3655547.123358395,2069590.0046075936
11,3655555.7242327817,2069689.2713928795
12,3655564.302622242,2069788.6519466941
13,3655572.8787529496,2069887.9215233081
14,3655624.42560376,2070484.0878878224
15,3655633.038496294,2070583.465517674
16,3655641.607420849,2070682.736572484
17,3655650.1848286437,2070782.006821346
18,3655658.787401288,2070881.27450321
19,3655667.3674965277,2070980.6559541377
20,3655629.8441185993,2069381.7035232715
21,3655638.4349128287,2069480.9711425367
22,3655647.019904603,2069580.3507688043
23,3655655.610981983,2069679.6185375634
24,3655664.1855160627,2069778.8881420132
25,3655672.849669195,2069878.8162088385
26,3655681.416145391,2069978.0868436177
27,3655689.9911056785,2070077.356672571
28,3655698.5912334006,2070176.6239347928
29,3655707.1581353294,2070275.8947935053
30,3655715.758545818,2070375.1622050758
31,3655724.325731486,2070474.4332130563
32,3655732.901400635,2070573.703415212
33,3655741.502235394,2070672.9710507442
34,3655750.069846792,2070772.242282565
35,3655758.6996570677,2070872.063570415
36,3655767.300916792,2070971.331430272
37,3655775.868954618,2071070.6028862926
38,3655729.79503911,2069372.490869378
39,3655738.3760365294,2069471.7594721904
40,3655755.5384562006,2069670.296901911
41,3655764.1306184535,2069769.675900397
42,3655772.7121824566,2069868.9448020696
43,3655781.2938880706,2069968.2137784266
44,3655789.8864757135,2070067.5930012797
45,3655798.468464688,2070166.8621270545
46,3655807.050595273,2070266.1313274994
47,3655815.665089983,2070365.7311188334
48,3655824.230821198,2070465.0022294289
49,3655832.83006004,2070564.2698934665
50,3655841.4175574784,2070663.761497978
51,3655850.017079332,2070763.029311487
52,3655858.5917192562,2070862.299840454
53,3655867.193924501,2070961.6788560862
54,3655875.768848026,2071060.9495343494
55,3655884.360594708,2071160.218526721
56,3655892.9548843214,2071259.5986467805
57,3655901.5815425343,2071359.3093603642
