field_1,X,Y,sea_proximity_1
0,3655359.03262263,2070909.58666037,11842.0498046875
1,3655450.37823413,2070800.98803555,11706.5419921875
2,3655458.9586932,2070900.25815345,11754.23828125
3,3655455.79707003,2069698.59620125,10910.6982421875
4,3655464.37451277,2069797.86560028,10979.814453125
5,3655541.65663724,2070691.84176812,11571.1767578125
6,3655550.25218153,2070791.11015257,11618.568359375
7,3655558.85267805,2070890.60071718,11666.625
8,3655567.42348315,2070989.87189301,11715.3369140625
9,3655538.54765324,2069490.73525508,10700.716796875
10,3655547.12335839,2069590.00460759,10769.32421875
11,3655555.72423278,2069689.27139288,10838.4189453125
12,3655564.30262224,2069788.65194669,10907.9931640625
13,3655572.87875295,2069887.92152331,10978.0380859375
14,3655624.42560376,2070484.08788782,11389.5615234375
15,3655633.03849629,2070583.46551767,11435.95703125
16,3655641.60742085,2070682.73657248,11483.0361328125
17,3655650.18482864,2070782.00682135,11530.7900390625
18,3655658.78740129,2070881.27450321,11579.2109375
19,3655667.36749653,2070980.65595414,11628.2900390625
20,3655629.8441186,2069381.70352327,10559.37109375
21,3655638.43491283,2069480.97114254,10627.9501953125
22,3655647.0199046,2069580.3507688,10697.0234375
23,3655655.61098198,2069679.61853756,10766.5830078125
24,3655664.18551606,2069778.88814201,10836.6201171875
25,3655672.84966919,2069878.81620884,10907.123046875
26,3655681.41614539,2069978.08684362,10978.083984375
27,3655689.99110568,2070077.35667257,11049.494140625
28,3655698.5912334,2070176.62393479,11121.345703125
29,3655707.15813533,2070275.89479351,11193.62890625
30,3655715.75854582,2070375.16220508,11254.826171875
31,3655724.32573149,2070474.43321306,11300.8896484375
32,3655732.90140064,2070573.70341521,11347.6484375
33,3655741.50223539,2070672.97105074,11395.091796875
34,3655750.06984679,2070772.24228256,11443.212890625
35,3655758.69965707,2070872.06357041,11492.0029296875
36,3655767.30091679,2070971.33143027,11541.453125
37,3655775.86895462,2071070.60288629,11591.5537109375
38,3655729.79503911,2069372.49086938,10486.578125
39,3655738.37603653,2069471.75947219,10555.6298828125
40,3655755.5384562,2069670.29690191,10695.201171875
41,3655764.13061845,2069769.6759004,10765.7021484375
42,3655772.71218246,2069868.94480207,10836.666015625
43,3655781.29388807,2069968.21377843,10908.0849609375
44,3655789.88647571,2070067.59300128,10979.951171875
45,3655798.46846469,2070166.86212705,11052.2548828125
46,3655807.05059527,2070266.1313275,11120.2578125
47,3655815.66508998,2070365.73111883,11165.98046875
48,3655824.2308212,2070465.00222943,11212.41015625
49,3655832.83006004,2070564.26989347,11259.53515625
50,3655841.41755748,2070663.76149798,11307.3486328125
51,3655850.01707933,2070763.02931149,11355.8408203125
52,3655858.59171926,2070862.29984045,11405.0048828125
53,3655867.1939245,2070961.67885609,11454.830078125
54,3655875.76884803,2071060.94953435,11505.30859375
55,3655884.36059471,2071160.21852672,11556.431640625
56,3655892.95488432,2071259.59864678,11608.1923828125
57,3655901.58154253,2071359.30936036,11660.5703125
58,3655910.16537397,2071458.57945718,11712.955078125
59,3655918.75415171,2071558.07173519,11765.470703125
60,3655927.35494697,2071657.34022091,11817.74609375
61,3655935.92252366,2071756.61230201,11870.388671875
62,3655944.52360164,2071855.8809369,11922.5634765625
63,3655953.09146204,2071955.15316708,11974.9814453125
64,3655961.69282275,2072054.42195112,12027.4072265625
65,3655970.26096685,2072153.69433036,12080.283203125
66,3655855.43386896,2069660.64633802,10624.279296875
67,3655864.04844779,2069760.35683466,10695.248046875
68,3655872.63689998,2069859.62495904,10766.67578125
69,3655881.21954793,2069959.00509041,10838.556640625
70,3655889.8082832,2070058.27336425,10910.880859375
71,3655898.40195394,2070157.76381726,10983.638671875
72,3655906.99097244,2070257.03224062,11031.234375
73,3655915.58847392,2070356.29985847,11077.32421875
74,3655924.16109196,2070455.57019152,11124.123046875
75,3655932.75053463,2070554.83883888,11171.62109375
76,3655941.32343609,2070654.10932119,11219.8095703125
77,3655949.95612084,2070753.81880804,11268.6796875
78,3655958.52930629,2070853.08943994,11318.2216796875
79,3655967.1193154,2070952.35838619,11368.4267578125
80,3655975.69278429,2071051.6291673,11419.287109375
81,3655984.29381668,2071151.00843568,11470.794921875
82,3655992.86756913,2071250.27936608,11522.939453125
83,3656001.45814427,2071349.54861087,11575.357421875
84,3656010.04292091,2071448.92986357,11627.7822265625
85,3656018.63377912,2071548.19925764,11680.2451171875
86,3656027.20809856,2071647.47048643,11732.65234375
87,3656035.85054438,2071747.17984318,11785.01171875
88,3656044.41680787,2071846.45210149,11837.4072265625
89,3656053.01657221,2071945.72091417,11889.806640625
90,3656061.59145895,2072044.99244152,11942.466796875
91,3656070.18316641,2072144.26228336,11995.5087890625
92,3655955.37239117,2069651.43804699,10553.8291015625
93,3655963.94256242,2069750.70795965,10625.2685546875
94,3655972.52956001,2069849.97618682,10697.1640625
95,3655981.12504108,2069949.24360862,10769.509765625
96,3655989.69803235,2070048.6247975,10842.2939453125
97,3655998.33674556,2070148.33305748,10896.65625
98,3656006.89928398,2070247.604224,10942.400390625
99,3656015.49533108,2070346.87194497,10988.86328125
100,3656024.07483621,2070446.14150069,11036.037109375
101,3656032.65448291,2070545.41113107,11083.912109375
102,3656041.2342712,2070644.68083609,11132.48046875
103,3656049.81420105,2070743.95061574,11181.732421875
104,3656058.39427249,2070843.22047002,11231.658203125
105,3656066.99116735,2070942.48863895,11282.248046875
106,3656075.57631727,2071041.98074833,11333.49609375
107,3656084.17349507,2071141.24906669,11385.390625
108,3656092.78874776,2071240.96079201,11437.7841796875
109,3656101.39694767,2071340.33943314,11490.1845703125
110,3656109.98620949,2071439.60885575,11542.837890625
111,3656118.55893226,2071538.88011283,11595.0048828125
112,3656127.15921641,2071638.25985807,11647.5546875
113,3656135.7322227,2071737.53126438,11699.8515625
114,3656144.32205048,2071836.80098542,11752.28515625
115,3656063.86070302,2069741.39206634,10555.7724609375
116,3656072.46532414,2069840.76968863,10628.138671875
117,3656081.05100901,2069940.03809362,10700.94921875
118,3656089.62015114,2070039.30833319,10762.2548828125
119,3656098.20611889,2070138.57688755,10807.6416015625
120,3656106.81130561,2070237.95480908,10853.7607421875
121,3656115.39755602,2070337.22351291,10900.6015625
122,3656123.98873692,2070436.71439634,10948.15625
